customer_id,before_call_entropy,before_perc_of_calls_to_dar,before_calls_to_dar_ward_rank,before_calls_to_dar_subward_rank,after_call_entropy,before_money_sent_normed,after_mean_balance,after_cashin_normed,region_education,region_immunization_measles,region_antenatal_visits,region_parliament_female_male_ratio,region_population_millions,region_manyara,region_mara,region_pwani,region_ruvuma,region_shinyanga
564,4.108,57.88,392.0,397.0,4.0804,7391.188679245283,1379.7142857142858,159.98726114649682,8.3,91.3,46.53,0.75,1.38,0,0,0,1,0
508,3.5328,47.9,77.0,75.0,2.6673,1553.6057692307693,48181.78313253012,3124.6103896103896,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
78,2.5258,14.29,70.0,266.0,3.5948,924.621212121212,23636.63888888889,634.6311111111111,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
1206,2.8633,71.92,107.6,62.0,1.7378,822.1052631578947,0.0,0.0225988700564971,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0
1022,3.057,16.8,290.33,269.0,2.8688,2313.84375,6621.096774193548,1129.6143790849674,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
71,4.7252,30.69,251.67,7.0,4.8587,,20146.85714285714,713.6404494382023,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
263,3.6578,46.38,392.0,398.0,3.9051,378.57142857142856,4423.130434782609,248.05729166666663,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
48,3.9847,7.25,22.0,23.0,4.7297,1520.0,20033.06477732793,7245.577669902913,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0
559,4.0166,20.18,399.2,409.0,3.9795,28.98550724637681,4488.6,0.0196078431372549,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
422,3.9969,7.83,63.75,39.0,3.4398,1052.6104417670683,2798.0,1.824742268041237,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
114,3.2119,29.32,257.67,253.0,3.5665,421.63461538461536,2657.75,54.99453551912568,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
131,3.1313,56.05,422.22,424.0,3.2782,2635395.3991935486,12161.032258064515,1816.361111111111,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0
802,3.1335,64.01,250.12,254.0,4.1885,651.4492753623189,17775.166666666668,1704.9591836734694,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0
1146,,,,,,0.0,1312.655172413793,0.0,,,,,,0,0,0,0,0
206,4.1887,23.64,202.83,156.0,4.3674,1639.4904458598726,24458.0,2601.204081632653,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0
807,3.421,50.0,381.0,332.0,3.1136,4338.072916666667,24719.091954022988,1242.1490683229813,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
329,2.5355,32.08,144.83,123.0,2.4893,0.7142857142857143,17061.904761904763,540.21,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
625,3.5511,33.93,361.67,371.0,3.7841,1088.7096774193549,494.7692307692308,11.353932584269662,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
367,3.5371,62.89,52.67,70.0,3.7422,31866.666666666668,14281.582278481012,5077.601694915255,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0
164,3.5259,9.34,49.75,15.0,3.2586,2940.0,11446.91907514451,3742.3655913978496,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0
734,3.4761,47.66,195.67,122.0,4.0297,4915276.27118644,33090.23188405797,1382.7680412371135,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0
694,4.1468,42.2,237.5,302.0,3.0833,3621.2901234567903,4856.153846153846,266.0552486187845,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0
1165,3.0019,39.74,418.25,436.0,1.576,2494.767441860465,29558.4,7.761467889908257,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
333,3.5005,32.0,176.0,120.0,3.1026,471.79487179487177,4978.521739130435,324.2537313432836,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
663,4.1259,35.11,77.6,53.0,3.4742,1436.4322033898304,460.5,0.2446043165467626,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
1141,4.1225,46.3,170.25,150.0,4.1027,369.0,36764.31764705882,688.3566878980891,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0
608,4.5387,55.43,107.6,62.0,4.9301,961.1627906976744,16129.787878787878,486.9583333333333,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0
623,,,,,,0.0,28548.666666666668,0.0,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0
455,4.1237,20.42,250.12,34.0,4.1505,6434254.335260116,4940.272727272727,253.5064935064935,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
12,3.0439,59.66,356.29,267.0,3.7652,1239.141414141414,40880.206896551725,4432.690909090909,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
499,3.1298,15.33,89.75,49.0,3.1788,920498.2875816992,12700.2,293.5963302752294,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
617,2.2416,50.0,102.33,106.0,2.2578,1910.119047619048,2486.333333333333,0.273224043715847,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
952,4.1522,27.72,51.6,101.0,3.9352,3093.75,51407.31578947369,1655.5,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
1109,4.6309,9.6,106.2,76.0,4.5612,2012.66,7529.069767441861,304.0934579439252,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
38,3.1888,3.49,281.43,229.0,4.0118,859.349593495935,5881.733333333334,560.207468879668,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
