customer_id,dar_night_tower,tower_id,subward_name,subward_id,ward_name,ward_id,rank,prop_known,kmeans,binary_dv
499,381,381,Lubakaya,254,Chanika,13,436,0.654255319,1,1
617,432,432,Mission Quarter,206,Mchikichini,14,77,0.792553191,5,0
952,27,27,Changanyikeni,160,Makongo,7,135,0.829787234,4,0
38,217,217,Kigogo Mkwajuni,42,Kigogo,6,312,0.824468085,1,1
219,294,294,Mavurunza,120,Kimara,20,209,0.914893617,3,0
752,194,194,Bunju 'A',90,Bunju,86,62,0.739361702,5,0
153,445,445,Salasala,170,Wazo,4,72,0.64893617,5,0
1065,233,233,Kisiwani,60,Ubungo,71,51,0.904255319,5,0
575,484,484,Charambe,235,Upanga Magharibi,51,14,0.718085106,5,0
1150,183,183,Mbezi Beach 'A',75,Kawe,70,19,0.781914894,5,0
616,400,400,Barafu,97,Mburahati,52,203,0.760638298,3,0
276,305,305,Liwiti,245,Segerea,9,179,0.882978723,3,0
315,275,275,Kariakoo Mashariki,219,Kariakoo,34,23,0.925531915,5,0
1199,163,163,Kilungule 'A',118,Kimara,20,215,0.914893617,3,0
1072,420,420,Karume,201,Ilala,33,43,0.936170213,5,0
884,462,462,Kisopwa,148,Kwembe,85,439,0.367021277,1,1
254,301,301,Msisiri B,24,Mwananyamala,54,241,0.85106383,3,1
224,144,144,Kinyerezi,198,Kinyerezi,43,134,0.867021277,4,0
81,178,178,Mwinjuma,22,Mwananyamala,54,289,0.85106383,2,1
1188,487,487,Mtongani,81,Kunduchi,25,44,0.760638298,5,0
772,198,198,Kimara B,141,Saranga,29,305,0.430851064,1,1
310,401,401,Kinondoni Shamba,35,Kinondoni,18,40,0.882978723,5,0
665,151,151,Jogoo,154,Mbezi Juu,5,55,0.728723404,5,0
25,502,502,Mshikamano,128,Mbezi,49,234,0.765957447,3,1
33,527,527,Makangira,31,Msasani,72,71,0.765957447,5,0
158,8,8,Kipunguni,213,Kipawa,46,136,0.664893617,4,0
777,465,465,Darajani,272,Kimanga,41,322,0.760638298,1,1
379,331,331,Karakata,212,Kipawa,46,261,0.664893617,3,1
28,527,527,Makangira,31,Msasani,72,71,0.765957447,5,0
983,163,163,Kilungule 'A',118,Kimara,20,215,0.914893617,3,0
847,194,194,Bunju 'A',90,Bunju,86,62,0.739361702,5,0
1112,551,551,Makongo,161,Makongo,7,80,0.829787234,5,0
53,265,265,Saranga,138,Saranga,29,414,0.430851064,1,1
840,468,468,Kimamba,8,Makurumla,90,155,0.430851064,4,0
1114,203,203,Kisukuru,269,Kimanga,41,188,0.760638298,3,0
469,50,50,Msakuzi,129,Mbezi,49,196,0.765957447,3,0
298,44,44,Kiwalani,238,Kiwalani,31,197,0.64893617,3,0
586,2,2,Bombani,178,Pugu,8,353,0.670212766,1,1
174,58,58,Kitunda kati,247,Kitunda,22,260,0.707446809,3,1
733,191,191,Mbezi Luisi,133,Mbezi,49,156,0.765957447,4,0
250,251,251,Kisiwani,214,Buguruni,80,150,0.888297872,4,0
1177,493,493,Yange yange,182,Msongola,75,424,0.29787234,1,1
927,221,221,Yombo,240,Kiwalani,31,302,0.64893617,1,1
34,168,168,Tabata Kisiwani,195,Tabata,87,166,0.888297872,4,0
27,121,121,Mzinga,248,Kitunda,22,198,0.707446809,3,0
1077,5,5,TPDC,123,Mikocheni,48,5,0.813829787,5,0
70,545,545,Kipunguni 'B',257,Kivule,73,324,0.54787234,1,1
891,281,281,Kichangani,263,Majohe,83,362,0.505319149,1,1
845,320,320,Kipunguni,213,Kipawa,46,136,0.664893617,4,0
37,20,20,Mvuleni,55,Manzese,42,308,0.984042553,1,1
273,265,265,Saranga,138,Saranga,29,414,0.430851064,1,1
486,376,376,Ulongoni,259,Gongolamboto,12,231,0.845744681,3,1
